authorName,googleMapsPlaceId,placeAddress,placeName,placeUrl,provider,reviewDate,reviewId,reviewImages/0,reviewImages/1,reviewImages/2,reviewImages/3,reviewImages/4,reviewImages/5,reviewImages/6,reviewImages/7,reviewImages/8,reviewImages/9,reviewImages/10,reviewImages/11,reviewImages/12,reviewRating,reviewText,reviewTitle,reviewUrl
rozi,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2015-05-21T00:00:00.000Z,273689184,,,,,,,,,,,,,,4,If you like full body coffee DazBog is thsi place to go. Some shops are franchised and others owned by corporate. Service is pretty consistent and you will get a good strong cup of coffee.,Strong Coffee,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r273689184-Gateaux_Bakery-Denver_Colorado.html
sujata_chak,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2015-05-19T00:00:00.000Z,273126885,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/eb/18/fc/gateaux-bakery.jpg,,,,,,,,,,,,,4,"After having our 1st custom cake delivered & tasted I just fell in love with Gateaux !!!! Simply excellent ... Michelle karmona is a sweetheart . She always made the perfect cake for us for our special occasions !!!! I just can""t think of any other bakery or pastry chef other than Gateaux n Michelle whenever we need a special cake .",This the one I always go for !!!!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r273126885-Gateaux_Bakery-Denver_Colorado.html
quantamboy,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2015-04-21T00:00:00.000Z,267216311,,,,,,,,,,,,,,4,Love the cakes- fresh with amazing presentation and flare!  The carrot cake is awesome!  Love their tea cookies - they are one of a kind!,Great original bakery!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r267216311-Gateaux_Bakery-Denver_Colorado.html
Katie C,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2015-01-19T00:00:00.000Z,250050120,,,,,,,,,,,,,,2,"I ordered a special cake for my son's birthday and asked that the outside be frosted with a buttercream.  While the cake itself was sufficiently moist, the buttercream contained no hint of real butter.  As an avid baker, I know what real buttercream tastes like; what a disappointment! ",Buttercream misses the butter,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r250050120-Gateaux_Bakery-Denver_Colorado.html
SSwanstrom8,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2014-12-17T00:00:00.000Z,244827800,,,,,,,,,,,,,,5,"If I lived in Denver this would be my go to bakery for all occasions!! Not only is everything delicious, but it is also artistically done with great detail.  The customer service is absolutely the best I've ever received in a bakery.  Willing to help, accommodate, and make your day!! My sister and I were visiting from out of town and at the last minute were in need of 120 cookies to give as gifts and on the spot can you believe they had that many gingerbread men?! All beautifully wrapped and ready to go!  If only I lived in Denver...",If I lived in Denver...,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r244827800-Gateaux_Bakery-Denver_Colorado.html
Jennifer R,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2014-11-24T00:00:00.000Z,241356179,,,,,,,,,,,,,,5,They have a seasonal pumpkin cheesecake which is the holiday season wrapped into a delicious treat. I order it every holiday season to share with friends.  The staff is always friendly and helpful. ,Pumpkin cheesecake,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r241356179-Gateaux_Bakery-Denver_Colorado.html
Adorado A,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2014-09-01T00:00:00.000Z,226193385,,,,,,,,,,,,,,5,"I recently ordered  a custom birthday cake for my wife's b-day. I placed the custom cake order via email and followed up with a phone call  since I was not from the area. Everything  went off without a hitch and the Dark chocolate ganache icing, chocolate cake, and layers of mocha cream was exquisite. My wife and guests  definitely raved over the quality and flavor of the cake. Thanks for the memorable experience and will definitely call again when in Denver.",Excellent custom cakes!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r226193385-Gateaux_Bakery-Denver_Colorado.html
Dede A,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2013-06-05T00:00:00.000Z,163106778,,,,,,,,,,,,,,5,We had a special to order cake for a 40th birthday party. It was phenomenal! The decorations (made to our specifications) were awesome! It was better than we had anticipated. It was delivered on time and tasted great too. I would highly recommend.,OMG! What a cake!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r163106778-Gateaux_Bakery-Denver_Colorado.html
Minngyrl,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2011-12-07T00:00:00.000Z,121495444,,,,,,,,,,,,,,4,I just stopped in one time but I was blown away by their selection and the beauty of their pastries.  I would have liked to have one of everything but my waist just can't do that.  I settled on a small assortment of breakfesty things and a walked away with an adorable tea cookie.  YUMMY!!!   It was hard for me to walk away with sampling their Petite Fours.  What really got me excited was that the ship!  Guess what my co-workers and family are getting for Christmas...Snowman Pops!,I think I fell in love!,https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r121495444-Gateaux_Bakery-Denver_Colorado.html
seanandshawn,ChIJLRLXVyx_bIcRYZRuWvTMkTk,"1160 Speer Blvd, Denver, CO 80204-3527",Gateaux Bakery,https://www.tripadvisor.com/Restaurant_Review-g33388-d833601-Reviews-Gateaux_Bakery-Denver_Colorado.html,tripadvisor,2009-07-06T00:00:00.000Z,34082289,,,,,,,,,,,,,,2,"Ordered a baby shower cake and paid over $80 for it.  Got it home followed their directions of bringing it to room temperature, etc.  The buttercream cracked, revealing the chocolate cake, not to mention the chocolate ""pregnant mom"" broke before anyone even got to see the cake.  The cake was dry and the frosting tasteless.  I understand that the taste of cake is very subjective, but the cake cracking is unacceptable, I won't use them again. Overrated!","Will not go back, Overrated!",https://www.tripadvisor.com/ShowUserReviews-g33388-d833601-r34082289-Gateaux_Bakery-Denver_Colorado.html
Scenic62792862519,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2024-10-26T00:00:00.000Z,976721959,,,,,,,,,,,,,,5,"I had to go to Buenos Aires to find the wonder of Argentinian pastries and desserts, and was overjoyed to discover Argentinian  Baker in Irving on my return.  If you haven't tried for whatever reason, try it - it's the best - bar none!!!!!!!",Went to Buenos Aires to find this bakery,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r976721959-Argentina_Bakery-Irving_Texas.html
Expedition772477,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2024-08-06T00:00:00.000Z,963523281,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/12/a0/b7/caption.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/12/a0/b8/caption.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/12/a0/b9/caption.jpg,,,,,,,,,,,5,"Amazing! We had empanadas for lunch and they were fantastic!  Beef and cheese, chicken and meat and egg!!they were all moist, slightly spicy with wonderful flavors in a flaky pastry! We then had a cream and strawberry tarte and a slice of ricotta tarte. Both were amazing! Creamy and not too sweet but just enough! Cute cafe setting and great service!!they also have a coffee bar and I had a vanilla latte which was great!",A sweet gem of a cafe!,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r963523281-Argentina_Bakery-Irving_Texas.html
Susan K,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2024-07-27T00:00:00.000Z,961897076,,,,,,,,,,,,,,5,Heard from our Argentinian friend this place was good-and it is! Had some yummy warm crusty empanadas with different meat fillings. Came with some excellent homemade sauce. Everything in the bakery case looked scrumptious but I resisted. Maybe next time.,Yummy!,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r961897076-Argentina_Bakery-Irving_Texas.html
anita s,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2024-01-17T00:00:00.000Z,934532854,,,,,,,,,,,,,,1,"Las Facturas de mala calidad, no se  sentian frescas. el servicio el bueno pero deben mejorar sus productos",Calidad de producto no muy buenos,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r934532854-Argentina_Bakery-Irving_Texas.html
Andy V,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2023-11-16T00:00:00.000Z,926128302,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/d3/9c/77/caption.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/d3/9c/78/caption.jpg,,,,,,,,,,,,5,"The service is consistently friendly and the everything is always fresh and takes me back to Argentina!!  I had to stock up! 
Please open in Austin the  Argentines here  need you!!! ",Awesome everything!! ,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r926128302-Argentina_Bakery-Irving_Texas.html
Dreamer02547398622,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2023-04-06T00:00:00.000Z,885074199,,,,,,,,,,,,,,1,"There was a cashier (orange haired girl) who I was watching while I was in like and she was honestly incredibly rude and arrogant towards every single customer in front of me.She was directing herself very demanding towards everybody when the customers were literally just trying to get some food.Neither of the cashiers had name tags but even when I called after to complain about this she did not want to tell me her name.During my visit to the bakery ,she was acting rude to the people ordering and hesitating to change an order she had made wrong.After she noticed me looking at her she tried to give me good service but that did not fix anything.While I was cashing out the other cashier asked the orange haired girl a price for something and she directed to her in a mean and rude way which I could notice and hear.Customers come in here expecting a good customer service and be able to walk out satisfied but she ruins people’s days and just acts like she shouldn’t towards customers without any good reason.Please don’t let her handle customers anymore because I know I’m not the only one who has seen this happen.",Bad customer service!!,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r885074199-Argentina_Bakery-Irving_Texas.html
JaneP,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2022-10-14T00:00:00.000Z,864490191,,,,,,,,,,,,,,5,"The staff is helpful, kind and efficient.  The food is delicous, great quality and reasonably priced.  Its a little slice of heaven on earth.",Lovely people and delicious food,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r864490191-Argentina_Bakery-Irving_Texas.html
GreatDayTraveling,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2022-08-23T00:00:00.000Z,855912009,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/5b/fc/c3/exterior-sign-located.jpg,,,,,,,,,,,,,5,"Stopped in for a pastry and coffee. Lots to choose from, freshly made. Custom orders can be made also. Cakes, cookies, snacks, etc. Some warm items during breakfast as well. Tasty chai tea and coffee.",Tasty treats,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r855912009-Argentina_Bakery-Irving_Texas.html
Tashia G,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2021-08-17T00:00:00.000Z,804511734,,,,,,,,,,,,,,5,We love meeting here for coffee and desserts.  Everything is always so good!  Customer service is always nice and fast.,Our favorite place to meet,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r804511734-Argentina_Bakery-Irving_Texas.html
Janeen H,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2021-06-23T00:00:00.000Z,793812758,,,,,,,,,,,,,,2,"I visit quite often so they get my fair share of money. Not today. Both ladies behind the counter appeared ""too busy"" to service me and both kept me waiting for about 5 minutes. No greeting, no apologies, nothing. RUDE! Meanwhile, the customer before me got his item quickly and a ""Have a Nice Day!"" I barely got asked if I wanted my receipt. What's up ladies?!? One bad experience = never going back. Pretty ladies, ugly attitudes!",Treats good; customer service RUDE!,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r793812758-Argentina_Bakery-Irving_Texas.html
alexhunter27,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2021-06-13T00:00:00.000Z,792424174,,,,,,,,,,,,,,5,"Pastries, pastries and more pastries. 

This is a great little establishment. All kinds of pastries both savoury and sweet. Additionally they sell products from Argentina. 
The empanadas are excellent. 
I must say the macarons are the best I have ever tasted. 

Come in for the empanadas, stay fir the alfajors.","Pastries, pastries everywhere.",https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r792424174-Argentina_Bakery-Irving_Texas.html
Georgia L,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2021-05-29T00:00:00.000Z,790316737,,,,,,,,,,,,,,5,"Stunning cakes and sumptuous pastries.  Savory empanadas hot and tasty! 
Freshly brewed coffee to top it all off!
I am lucky I don’t live near here or I would weigh 500 lbs!",Stunning Cakes and Sumptuous Pastries,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r790316737-Argentina_Bakery-Irving_Texas.html
Dami O,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2020-05-28T00:00:00.000Z,755562444,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/5b/42/75/argentina-bakery.jpg,,,,,,,,,,,,,1,"I had the absolute worst experience with this bakery! I sent them a picture of the cake I wanted for my daughter's first birthday and I was quoted a price. To my utmost surprise, I got a text the morning of pickup that I had to pay an extra $20 if I wanted the number 1 on the cake as was in the picture. I went to the bakery, and after complaining for about 30 minutes, I was told it'll take 25 minutes to have the number put on. Sadly, it gets worse! Not only did they spell my daughter's name wrong on the cake, they also made it whipped cream icing instead of the fondant icing like I had ordered! All the while, I never even got a simple apology! I was told to send an email. I went home only to find that instead of a 2nd tier vanilla cake, I got chocolate!! I can't say enough terrible things about this place, just stay away if you don't want your big day ruined!!!",Worst Cake Ordering Experience!,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r755562444-Argentina_Bakery-Irving_Texas.html
Larry McConnell,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2020-05-04T00:00:00.000Z,753133678,,,,,,,,,,,,,,5,"The atmosphere and variety are outstanding and, the quality of the foods and pastry's  are exceptional!  Frankly, I won't go anywhere else now!  The people are personable and, friendly.  I have had the opportunity to meet the owner and, when you do you'll know why this Bakery stands out!",Finding Argentina Bakery was a Bonus!,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r753133678-Argentina_Bakery-Irving_Texas.html
Claude Fenworthy,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2019-07-13T00:00:00.000Z,689330230,,,,,,,,,,,,,,5,"Been coming to this bakery since the week they opened the doors. During Christmas, they make an Argentine version of the German ""schwieneohren"" (literally pigs ears) that are a spot-on duplicate of the pastries I got when I was stationed in Germany. Everything is fabulous. The alfajores de maizena are my favorites. They are made with a combination of corn starch and wheat flour; so tender they melt in your mouth. I always get them after I finish with my empanadas con huevo y jalapeno. They have a selection of espresso drinks, like latte and cappuccino, as well as gourmet teas and regular coffee. I always buy our family birthday cakes here. They have chocolate tres leches cakes with strawberry filling between layers, and glazed fruits on top. My family can't get enough of them.","Better coffee, better desserts, fresh empanadas",https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r689330230-Argentina_Bakery-Irving_Texas.html
G N,ChIJ_WfcQTOCToYR2Rcj59um2pk,"3401 W Airport Fwy Ste 112, Irving, TX 75062-5931",Argentina Bakery,https://www.tripadvisor.com/Restaurant_Review-g56032-d3202738-Reviews-Argentina_Bakery-Irving_Texas.html,tripadvisor,2019-03-29T00:00:00.000Z,662085879,,,,,,,,,,,,,,4,Caramel cake was moist and flavorful.  White cake with strawberry whipped cream icing  was beautifully decorated with fruit.  I was a bit disappointed that grapes were still on the stems.  Both cakes were light and delicious.,Delicious cakes for special occasions,https://www.tripadvisor.com/ShowUserReviews-g56032-d3202738-r662085879-Argentina_Bakery-Irving_Texas.html
