authorName,googleMapsPlaceId,placeAddress,placeName,placeUrl,provider,reviewDate,reviewId,reviewRating,reviewText,reviewTitle,reviewUrl
Travis W,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-01-23T18:59:57.811Z,,5,First time I ordered I thought it was okay too much sauce . Second time I ordered second cheeseburger I ordered with no sauce and it was amazing . I'm hooked ,,
Tabitha W,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2021-12-28T22:34:22.259Z,,5,Always delicious! The burgers are cooked really well and the fries are so tasty as well. Chicken also has a lot of flavor and you can get so many sauces ,,
Sarah B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2021-10-21T21:06:16.192Z,,5,"This is one of my go-to delivery joints. Restaurant-grade food, super fast delivery, consistently delicious. Highly recommend if you want to eat something that doesn't feel like cheap takeout but is under $20 delivered.",,
Nick R,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2021-10-19T00:38:00.233Z,,5,Our new go to.  Very good food all  around. Burgers and chicken are top notch!,,
Aneisha P,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2021-10-01T20:35:09.236Z,,5,Sandwiches? bomb. fries? bomb. Restaurant? bomb.,,
Fiona T,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2025-02-26T01:25:24.266Z,,2,cheese fries barely had cheese.,,
Peter N,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2025-01-11T02:00:25.265Z,,2,Dry and tasteless fires and a just passable burger.,,
Nigel T,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2025-01-09T02:51:52.971Z,,3,Meh Black Truffle Parmesan Burger ... okay Patty Melt,,
Joseph J,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-12-22T21:38:56.116Z,,3,"Like the other reviewer said, the Double Cheeseburger  was salty like crazy.  Truffle Fries were great.  Food was delivered quickly and it was of good quality.",,
Cc H,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-09-30T18:12:34.628Z,,5,Solid - definitely recommend ,,
Camellia A,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-09-07T03:13:33.793Z,,5,"Everything I order from this restaurant is delicious! The veggie burgers is  so good! The chicken sandwich and boneless wings are great, but the real star is the truffle fries and lemon aioli! I order here often, you should too!",,
Breanna W,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-04-30T23:11:41.043Z,,5,Always my go to for a well seasoned burger! ,,
Kizzy H,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-04-27T22:10:43.915Z,,4,Every taste fresh and first time having truffle fries!,,
Antonette V,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-03-06T02:35:15.145Z,,5,Food was great; however did really like the cheese fries . Overall would purchase everything else again. ,,
Amulya P,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-02-23T00:19:48.056Z,,4,The burger was a little dry but the regular fries are quite good!,,
Sungwoo B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2024-01-04T23:53:56.642Z,,3,Great burger! I wish they got the size right on the Original Fries though - put an individual order (which is more expensive) but ended  up getting a combo size,,
Kyle F,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-11-06T20:40:27.248Z,,5,Great as usual and good deal on the beer and Beer and Shot Combo 12oz Can Beer (5.7% ABV),,
Angel F,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-10-02T23:45:38.556Z,,4,"I lovedddd the loaded fries, that was a random add on I got for the night and it ended up being the highlight! The burgers are good and the blondie was boring :p ",,
Denise M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-09-30T23:05:51.431Z,,5,"It was a delicious, sloppy mess. Get lots of napkins. ",,
Malèah D,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-09-30T12:55:50.259Z,,5,10/10 my fav burger spot. I eat here at least twice a month. It hit the spot everytime!! ,,
Adam M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-07-28T22:56:26.971Z,,5,Hands down the best burger around! Messy and delicious!,,
Nicole R,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-07-19T18:25:41.050Z,,4,My sandwich was cold when I received it. But the flavor was there ,,
Mandy M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-07-08T18:12:29.216Z,,5,"I always order from here, fries and burger are great and not overpriced. ",,
Viviana F,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-06-16T23:29:57.491Z,,5,"The Double Cheeseburger is HEAVEN. Sooooo cheesy and delicious. Whenever im  craving a burger, this hits the spot everytime. Kinda wish the fries were crisper, but it's ok,  not the main attraction anyway. ",,
Anna R,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-05-29T00:09:05.564Z,,5,"Consistently great, my roommate and I  frequently say it's a home frite night - when we just want food we know is good. Can't go wrong with their burger and fries. ",,
Alexis D,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-05-10T03:03:56.239Z,,5,One of the best ive had in a long time ! ,,
Tess M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-04-25T22:53:44.237Z,,5,These are the best wings I have ever had ,,
Shannon S,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-04-12T23:41:01.904Z,,4,"I usually have a good experience with this restaurant, but my burger was a little under for my liking this time around. Fries and hot dogs were good as always ",,
Princess C,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-03-29T22:39:44.671Z,,1,food was cold & the drinks are not as strong as they say they are! Definitely not worth the money !,,
Deona E,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-03-04T23:37:05.074Z,,5,"The Black Truffle Parmesan Burger was sooo delicious, nice, saucy and cooked to perfection ",,
B. B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-03-03T00:48:14.718Z,,4,THIS PLACE WAS PRETTY GOOD ONLY THING WAS THE FOOD HAD A LITTLE SPICE THAT WAS NOT GOOD FOR THE KIDS BUT I T WAS STILL GOOD WOULD ORDER AGAIN,,
Jane B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-02-19T22:23:33.805Z,,5,The Loaded Fries - Chop Cheeseburger are always great! ,,
Emily L,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-02-17T21:14:51.955Z,,5,Super tasty! Love a Beer and Shot Combo 12oz Can Beer (5.7% ABV),,
Jane B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-02-04T20:12:59.021Z,,5,"Got the Loaded Fries - Chop Cheeseburger.
Always so good.",,
Gino Angelo G,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-02-02T17:06:49.137Z,,5,THE TRUFFLE BUURGER AND TRUFFLE FRIES ARE INSANELY GOOODDDDDDDD,,
Melissa W,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-01-30T00:05:41.450Z,,5,Delicious and the cheese fries areso good too ,,
Tiq M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2023-01-02T17:48:05.068Z,,5,The cheeseburger with extra cheese is perfect for a hangover ,,
Mariah Y,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-12-18T20:21:04.928Z,,5,Both the chicken sandwich and the Dutch fries were delicious. Get the lemon aioli if you can!,,
Gabrielle I,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-12-17T20:51:02.410Z,,4,"burger and fries were amazing, but the milkshake tasted like straight vodka I couldnt taste the ice cream at all ",,
Will W,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-12-13T21:58:02.121Z,,5,This place always makes food great and listens to you I love it,,
Espen C,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-12-07T17:30:34.263Z,,5,Burger and fries were a ten out of ten. The secret sauce is a must as well. Inexpensive and delicious ,,
Benitez B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-11-22T02:33:49.863Z,,5,So fresh and always hit the spot!! I love this place!! ,,
Alexander L,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-11-11T00:59:03.535Z,,5,"When I say this was the best fried chicken sandwich of my life, im not kidding. You NEED this. Not Chick-Fil-A, Popeyes, Zaxbys, Bojangles, none of that. THIS is it ",,
Benitez B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-10-30T22:52:08.452Z,,5,The French fries and chicken just had no rivals over here in Brooklyn!! I love this freaking place ,,
Diane L,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-09-20T18:20:56.973Z,,2,"This is a 7/11 grade, dry microwaved chicken sandwich- would not recommend and do not understand the rave reviews for this. Fries and sauces are amazing.",,
Michael H,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-09-09T17:02:49.289Z,,2,This burger ain't winning no awards trust me. It's a lame and sour. Just go to a burger joint or shake shack or sum,,
Ali B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-09-09T16:30:25.621Z,,5,Favorite burger place. Double Cheeseburger and truffle fries everytime. Its always good everytime,,
Jane B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-08-26T01:27:41.396Z,,5,My cheeseburger was ridiculous good. The fries are always good.,,
Sakinah A,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-08-01T18:02:02.676Z,,5,Veggie burgers and tray of fries were delicious. The Lemon garlic aioli sauce magnificent and tasty. I will order again. ,,
Jada L,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-07-08T01:45:16.644Z,,5,Double cheeseburger is so good! Very flavorful ,,
Shadaaqua B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-06-30T17:21:04.110Z,,5,"I had a chicken salad and it was sooo delicious, with the BBQ sauce and ranch sauce. 😋 ",,
Janie M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-06-13T01:35:30.639Z,,3,Fries aren't very good and wings weren't tender ,,
Jane B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-06-03T00:58:01.870Z,,5,Patty melt with bacon and fries are always good ,,
Laquana S,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-05-26T07:27:48.424Z,,4,They gave me the wrong fries which had a different flavor ,,
Dyanna F,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-05-03T22:24:27.489Z,,4,The fries were AMAZING. The burger was fine - pretty good but not the best burger I've ever had!,,
Funmi S,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-04-27T23:07:16.966Z,,5,GET THE GOOD MORNING BURGER . So yummy perfect hangover cure ,,
Destinee L,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-04-26T01:29:11.877Z,,5,The food was soooooooo good ! Everything was so fresh ! From the burger to the fries and that's on Mary had a little lamb .. ,,
Shaw M,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-04-20T13:47:31.909Z,,5,Favorite fries in Brooklyn and awesome burgers!,,
Kurosh H,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-04-13T13:30:58.556Z,,5,"My last review was intended to be a private message and it won't let me remove so to be fair, I'll write an actual review. Great burger! Local go to. Had the famous cheeseburger and the truffle and liked both a lot. Fries were good too. Solid place",,
Jane B,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-03-08T23:38:32.231Z,,4,Very good but Would like more cheese if I pay that much extra for extra cheese... will still order,,
Steve C,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-03-06T18:02:05.034Z,,5,"Their truffle fries are ridiculously good and so are their burgers.  One of my favorite places to eat in Brooklyn! Even my girlfriend, a notoriously picky eater, is in love with your food!",,
Liz W,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-02-26T01:08:28.936Z,,3,Used to love this place but sadly the fries are no longer the fresh potatoes fries that was here or at smorgasburg. What we received was fries that you would get at a diner. ,,
Xanthi P,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-02-16T17:12:03.843Z,,5,Home Frite has theee best truffle fries and burger. It's always my go to when I don't want to go out!,,
Astrid D,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-01-18T21:37:01.417Z,,5,"The best chicken sandwich ever. Popeyes who? The last time I had the shake there was an Oreo in it, what a nice surprise for me! :) but this time there wasn't. A bit disappointed there :( it was still good regardless though. ",,
Juvan E,ChIJl0yGbJRbwokRU009ugxm0CA,"1047 Bedford Ave, Brooklyn, NY 11216, USA",Home Frite,https://page-service.doordash.com/store/home-frite-674578/,door-dash,2022-01-17T22:31:17.185Z,,5,"Good quality meals, attention to detail is superb",,
