"authorName","googleMapsPlaceId","placeAddress","placeName","placeUrl","provider","reviewDate","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewImages/12","reviewImages/13","reviewImages/14","reviewImages/15","reviewRating","reviewText","reviewTitle","reviewUrl"
"Sophia Solivio","ChIJNSSMrUVZwokRQP7J5TwWUAE","97 Nassau Ave, Brooklyn, NY 11222","Keg & Lantern Greenpoint","https://www.google.com/maps/search/?api=1&query=Keg%20%26%20Lantern%20Greenpoint&query_place_id=ChIJNSSMrUVZwokRQP7J5TwWUAE","google-maps","2025-03-13T17:10:11.362Z","ChdDSUhNMG9nS0VJQ0FnTURRdzZmb2lRRRAB",,,,,,,,,,,,,,,,,"4","Friendly, prompt, and proactive service. The place looked clean and a diverse beer menu at fair prices, but the food we ordered (wings and fries) were just so-so. The wings tasted as if they had just been defrosted.
Would definitely go back to try different beers, but I'll skip the food next time.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRdzZmb2lRRRAB!2m1!1s0x0:0x150163ce5c9fe40!3m1!1s2@1:CIHM0ogKEICAgMDQw6foiQE%7CCgwI86LMvgYQwP3YrAE%7C?hl=en"
"L Y","ChIJt1KQKxhawokRujL-AUeoW-Y","9 Maiden Ln, New York, NY 10038","La Parisienne","https://www.google.com/maps/search/?api=1&query=La%20Parisienne&query_place_id=ChIJt1KQKxhawokRujL-AUeoW-Y","google-maps","2025-03-23T02:52:42.459Z","ChZDSUhNMG9nS0VJQ0FnTUR3c05HY1VREAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJLyqCdfa0THlm0sIYxXhob2oQvVbS2f7d6xbBEyhlU5YxdFAAO6MlHkIURZnL4L5xnTccJQNR5hcuWkf6nn3FbAs2J35CzKnpsnxqgKGtaaFvnjHusgkaTVIaczOz78DcFqxKabVw","https://lh3.googleusercontent.com/geougc-cs/AIHozJLDQhSNGgHv6WPBWKW7lyL6mTb2c6-bQKH8Ki57CxijqbKlq2C72UrkjgB-jotocCuoOJxmgcMhZNruTgZHPBo4bIiKST96oZEOul_cJzDS_2fZN2vRFyP5axDgaU3PkHPM3i4","https://lh3.googleusercontent.com/geougc-cs/AIHozJI71fSCXV-F5nQa5AC8lgL0mGQpWu00uRaaFupj87asyjnoLHi8DqoTLtWpHbSq2VhfYYD_8iDbgzYRqL56N6LJcG4tJTfqGeA6ZpGmNaozk5t0UdaARqYg0tY5r_f4iWDsXx1l","https://lh3.googleusercontent.com/geougc-cs/AIHozJI8YtwHy1nzEkCExD8SUA_S478P1IDPKP7Vu3-8tWECLEQvcuwOq_m7BPMRyCo-9cN8qzR5hITf50aAEehKR-VYF5VRd7oqCDXY5oaeoAATBpjLB3Js4h4YaMAPMyHZxPjWFu-gYw",,,,,,,,,,,,,"5","This is a cute French cafe in FiDi. I went on a Saturday afternoon, and while it was busy, the wait for a table for two was short (I would recommend joining the waitlist ahead tho). The staff was friendly, and the service was fast. The Croque Madame and French toast were well-made and tasted great. I’d highly recommend this place to anyone looking for brunch or a quick bite.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUR3c05HY1VREAE!2m1!1s0x0:0xe65ba84701fe32ba!3m1!1s2@1:CIHM0ogKEICAgMDwsNGcUQ%7CCgwI-u79vgYQqM6H2wE%7C?hl=en"
"Carrie Browde","ChIJwyH4GwJbwokRO0x0jD_unvw","356 6th Ave, Brooklyn, NY 11215","Park Slope Ale House","https://www.google.com/maps/search/?api=1&query=Park%20Slope%20Ale%20House&query_place_id=ChIJwyH4GwJbwokRO0x0jD_unvw","google-maps","2025-03-23T04:36:14.930Z","ChZDSUhNMG9nS0VJQ0FnTUR3cUlUVEZBEAE",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUR3cUlUVEZBEAE!2m1!1s0x0:0xfc9eee3f8c744c3b!3m1!1s2@1:CIHM0ogKEICAgMDwqITTFA%7CCgwIvp_-vgYQqLncuwM%7C?hl=en"
"Sergei Shidlovskii","ChIJOX9LDJxbwokR3ED_80i0azY","94 1/2 Greenwich St, New York, NY 10006","Cafe De Novo","https://www.google.com/maps/search/?api=1&query=Cafe%20De%20Novo&query_place_id=ChIJOX9LDJxbwokR3ED_80i0azY","google-maps","2025-02-17T15:27:55.905Z","ChZDSUhNMG9nS0VJQ0FnTUNnbnJPd1BBEAE",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNnbnJPd1BBEAE!2m1!1s0x0:0x366bb448f3ff40dc!3m1!1s2@1:CIHM0ogKEICAgMCgnrOwPA%7CCgwI-6rNvQYQiJvWrwM%7C?hl=en"
"Mohammad Afzal","ChIJuVhZBVtbwokRoXLBJZzXEaM","39 Essex St, New York, NY 10002","Flowers Cafe - Kaiser Richter Inc.","https://www.google.com/maps/search/?api=1&query=Flowers%20Cafe%20-%20Kaiser%20Richter%20Inc.&query_place_id=ChIJuVhZBVtbwokRoXLBJZzXEaM","google-maps","2025-02-26T22:43:08.642Z","ChdDSUhNMG9nS0VJQ0FnTURnX2Vtel93RRAB",,,,,,,,,,,,,,,,,"4","This place has great halal and fresh options, really delicious food.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURnX2Vtel93RRAB!2m1!1s0x0:0xa311d79c25c172a1!3m1!1s2@1:CIHM0ogKEICAgMDg_emz_wE%7CCgwI_LH-vQYQqI67sgI%7C?hl=en"
"Elian Gomez","ChIJCaz6FI9dwokRC3_fyzRQ57U","1153 Broadway, Brooklyn, NY 11221","La Cafeteria Bk","https://www.google.com/maps/search/?api=1&query=La%20Cafeteria%20Bk&query_place_id=ChIJCaz6FI9dwokRC3_fyzRQ57U","google-maps","2025-03-16T22:26:35.517Z","ChdDSUhNMG9nS0VJQ0FnTUN3dE5LUy1RRRAB",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUN3dE5LUy1RRRAB!2m1!1s0x0:0xb5e75034cbdf7f0b!3m1!1s2@1:CIHM0ogKEICAgMCwtNKS-QE%7CCgwIm6DdvgYQ6Kj-9gE%7C?hl=en"
"Bayli","ChIJ329uV7xZwokRfM6dcDcOtKY","119 7th Ave, New York, NY 10010","Cafeteria","https://www.google.com/maps/search/?api=1&query=Cafeteria&query_place_id=ChIJ329uV7xZwokRfM6dcDcOtKY","google-maps","2025-03-23T02:32:01.522Z","ChZDSUhNMG9nS0VJQ0FnTUR3aU4tUktBEAE",,,,,,,,,,,,,,,,,"3","This place is decent and open late which is great if you need an after event meal. The iced matcha is so good and the polenta fries are excellent. Unfortunately there was a fresh, unsmeared lipstick print on my tea cup which is very concerning in terms of cleanliness and quality control. So check your dishes.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUR3aU4tUktBEAE!2m1!1s0x0:0xa6b40e37709dce7c!3m1!1s2@1:CIHM0ogKEICAgMDwiN-RKA%7CCgwIoeX9vgYQ-NWD-QE%7C?hl=en"
"Lauren Sharp","ChIJUWqc9a1bwokRAGRAjc37sA8","76 Trinity Pl, New York, NY 10006","Trinity Café","https://www.google.com/maps/search/?api=1&query=Trinity%20Caf%C3%A9&query_place_id=ChIJUWqc9a1bwokRAGRAjc37sA8","google-maps","2025-01-17T19:32:34.793Z","ChZDSUhNMG9nS0VJQ0FnSUNfNWQtQkN3EAE",,,,,,,,,,,,,,,,,"5","Cute cafe tucked in Fidi inside Trinity college. The service was fast and my grilled cheese sandwich was hot and delicious. The inside is beautiful with ample seating",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNfNWQtQkN3EAE!2m1!1s0x0:0xfb0fbcd8d406400!3m1!1s2@1:CIHM0ogKEICAgIC_5d-BCw%7CCgwI0uCqvAYQ8NO--gI%7C?hl=en"
"Aurora Autumn (Season of Grace)","ChIJC942NqdYwokRoVt4ipO-o6I","First Floor Atrium, Guggenheim Pavilion, 1 Gustave L. Levy Pl, New York, NY 10029","Plaza Cafeteria at Mount Sinai Hospital","https://www.google.com/maps/search/?api=1&query=Plaza%20Cafeteria%20at%20Mount%20Sinai%20Hospital&query_place_id=ChIJC942NqdYwokRoVt4ipO-o6I","google-maps","2025-02-03T20:31:29.252Z","ChZDSUhNMG9nS0VJQ0FnTUNBb191alNBEAE",,,,,,,,,,,,,,,,,"1","The rudest workers  I’ve yet to meet, both inside the cafeteria (plaza cafe) and the Starbucks station. Not a little kindness. You would think working in an hospital, they would show some kindness. Retrain and revamp. That is not ok, especially for a hospital setting (magnet hospital at that). 5 stars for cleanliness though.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNBb191alNBEAE!2m1!1s0x0:0xa2a3be938a785ba1!3m1!1s2@1:CIHM0ogKEICAgMCAo_ujSA%7CCgsIoc-EvQYQ-LPEeA%7C?hl=en"
"Alta Gracia","ChIJY05DpwD1wokRj1k8gCMjQS0","Cafeteria Serie31, 257 E 184th St, Bronx, NY 10458","Cafeteria serie 31","https://www.google.com/maps/search/?api=1&query=Cafeteria%20serie%2031&query_place_id=ChIJY05DpwD1wokRj1k8gCMjQS0","google-maps","2025-01-31T17:26:56.791Z","ChZDSUhNMG9nS0VJQ0FnTUNBdHR6QVBBEAE",,,,,,,,,,,,,,,,,"5","I love this place, the owner of the store is very friendly and respectful, the food 10/10 I highly recommend it!",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNBdHR6QVBBEAE!2m1!1s0x0:0x2d412323803c598f!3m1!1s2@1:CIHM0ogKEICAgMCAttzAPA%7CCgwI4I_0vAYQoNC9-QI%7C?hl=en"
"RICHARD WARD","ChIJD6X3UsZZwokR0GevtjH3kK0","550 1st Ave., New York, NY 10016","Tisch Cafe","https://www.google.com/maps/search/?api=1&query=Tisch%20Cafe&query_place_id=ChIJD6X3UsZZwokR0GevtjH3kK0","google-maps","2025-01-26T20:56:05.412Z","ChZDSUhNMG9nS0VJQ0FnSURfay1hak1nEAE",,,,,,,,,,,,,,,,,"5","This is the best hospital canteen I ive ever ben too as I’m from the United Kingdom where most cafes are closed ??.
And your hours superb as they all at home in United Kingdom from 9am to only 3-4 4pm in UK  here open untill 12 am and earlier .
The staff are so helpful and friendly
As I’m awake early I can email from 6 am when it’s 5 hrs ahead at home .
Thank y so much best care holital too wouldn’t want to be any where else .",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfay1hak1nEAE!2m1!1s0x0:0xad90f731b6af67d0!3m1!1s2@1:CIHM0ogKEICAgID_k-ajMg%7CCgwI5cLavAYQwJbcxAE%7C?hl=en"
"Aleksandar Gyurov","ChIJu-pgzlFZwokRXxOCQjk6qXQ","920 7th Ave Suite 110, New York, NY 10019","Char-CUTE-rie by Bohemian Picnics","https://www.google.com/maps/search/?api=1&query=Char-CUTE-rie%20by%20Bohemian%20Picnics&query_place_id=ChIJu-pgzlFZwokRXxOCQjk6qXQ","google-maps","2025-03-22T13:55:28.445Z","ChdDSUhNMG9nS0VJQ0FnTUR3d0t5TWlBRRAB","https://lh3.googleusercontent.com/geougc-cs/AIHozJKpMizU5RrWUiY3B14eUkw9tF5TZDCKd-nRbTBALGvywAFv7m8BkuOSIVp5qFU-ufN6BaZveWd-WV0XhdAPhYjtiTzfBhvOrDYI0FfUXJg992HWuicE_O4WmH2ay1IoDOHx6JQ","https://lh3.googleusercontent.com/geougc-cs/AIHozJJMMLlz5p9Xei1P8ne8TU_UYoLGzhaTCoLeJ7oYYflWeB9LNzatgxyfZn8C0SLl6CvWPa2kqGd1qoFbz4dtOemc7BeKdemvzUMN38wsu5el1cV_ExcckysOqOZYxf_bLViDM84SwA",,,,,,,,,,,,,,,"5","Very beautiful place with good coffee and friendly service. Conveniently close to the park, so you can grab a coffee and enjoy a nice walk.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUR3d0t5TWlBRRAB!2m1!1s0x0:0x74a93a394282135f!3m1!1s2@1:CIHM0ogKEICAgMDwwKyMiAE%7CCgwI0IL7vgYQyNui1AE%7C?hl=en"
"Lexis Granda","ChIJt0AUifRZwokR7Ux7akzlcUc","4223 1st Ave, Brooklyn, NY 11232","Les Trois Petits Cochons Inc","https://www.google.com/maps/search/?api=1&query=Les%20Trois%20Petits%20Cochons%20Inc&query_place_id=ChIJt0AUifRZwokR7Ux7akzlcUc","google-maps","2025-01-27T17:24:12.458Z","ChZDSUhNMG9nS0VJQ0FnSURfeDRxRVNnEAE",,,,,,,,,,,,,,,,,"4",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfeDRxRVNnEAE!2m1!1s0x0:0x4771e54c6a7b4ced!3m1!1s2@1:CIHM0ogKEICAgID_x4qESg%7CCgwIvILfvAYQ2Ki72gE%7C?hl=en"
"Onur Yildirim","ChIJ1eDSiMFZwokRAaDh8O9t8CU","238 E 58th St Unit 4, New York, NY 10022","Tabla a la tabla","https://www.google.com/maps/search/?api=1&query=Tabla%20a%20la%20tabla&query_place_id=ChIJ1eDSiMFZwokRAaDh8O9t8CU","google-maps","2024-05-16T19:32:39.320Z","ChdDSUhNMG9nS0VJQ0FnSUNUdWFuUnN3RRAB",,,,,,,,,,,,,,,,,"5","I recently had the pleasure of visiting Tabla a la Tabla and it was an absolute delight! From the moment I stepped in, I was greeted with warmth and hospitality. The ambiance was cozy, with charming decor that set the perfect tone for a relaxing meal.

Now, let's talk about the food – it was exceptional! The selection of cured meats and cheeses was outstanding, each bite bursting with flavor and expertly paired with complementary accompaniments. Every item on the platter was clearly sourced with care and attention to quality.

Not only was the charcuterie top-notch, but the service was also impeccable. Paula was knowledgeable about the products and provided excellent recommendations based on our preferences. Their passion for good food was evident in every interaction.

To top it all off, the presentation was exquisite. Each platter was beautifully arranged, making it almost too pretty to eat (but of course, we couldn't resist!). Whether you're a charcuterie aficionado or just looking for a memorable dining experience, Tabla a la Tabla is a must-visit.",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNUdWFuUnN3RRAB!2m1!1s0x0:0x25f06deff0e1a001!3m1!1s2@1:CIHM0ogKEICAgICTuanRswE%7CCgwI176ZsgYQ4MHfmAE%7C?hl=en"
"Md Sojib","ChIJZyWYxa5bwokRtgaPzbe66Jg","228 Flatbush Ave, Brooklyn, NY 11217","BKLYN Larder","https://www.google.com/maps/search/?api=1&query=BKLYN%20Larder&query_place_id=ChIJZyWYxa5bwokRtgaPzbe66Jg","google-maps","2025-03-08T15:34:29.519Z","ChZDSUhNMG9nS0VJQ0FnTURRaVBPLUR3EAE",,,,,,,,,,,,,,,,,"1",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURRaVBPLUR3EAE!2m1!1s0x0:0x98e8bab7cd8f06b6!3m1!1s2@1:CIHM0ogKEICAgMDQiPO-Dw%7CCgwIhcexvgYQsPfZ9wE%7C?hl=en"
"Mitul Jain","ChIJZ4hoYi9ZwokR2xKawl-nX8c","112 W 25th St, New York, NY 10001","HappyBoards Cheese & Charcuterie","https://www.google.com/maps/search/?api=1&query=HappyBoards%20Cheese%20%26%20Charcuterie&query_place_id=ChIJZ4hoYi9ZwokR2xKawl-nX8c","google-maps","2025-03-21T20:11:53.363Z","ChdDSUhNMG9nS0VJQ0FnTUN3bDVmQnd3RRAB",,,,,,,,,,,,,,,,,"5","Loved it! I don’t usually write reviews, but the charcuterie board was worth every penny! And it was pretty Instagrammable",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUN3bDVmQnd3RRAB!2m1!1s0x0:0xc75fa75fc29a12db!3m1!1s2@1:CIHM0ogKEICAgMCwl5fBwwE%7CCgwIiZD3vgYQwNuNrQE%7C?hl=en"
"PaliGirl613","ChIJodGEN61NwokRXhdle0HNSLI","338 Decker Ave, Staten Island, NY 10302","a nibble and a bite","https://www.google.com/maps/search/?api=1&query=a%20nibble%20and%20a%20bite&query_place_id=ChIJodGEN61NwokRXhdle0HNSLI","google-maps","2025-03-20T03:20:45.958Z","ChdDSUhNMG9nS0VJQ0FnTUN3eFlmMXJRRRAB",,,,,,,,,,,,,,,,,"5","Delicious boards, accomodating services and easy delivery. Super cute! can't wait to order more!",,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUN3eFlmMXJRRRAB!2m1!1s0x0:0xb248cd417b65175e!3m1!1s2@1:CIHM0ogKEICAgMCwxYf1rQE%7CCgwIjZPuvgYQ-NuCyQM%7C?hl=en"
"Joshua Woodside","ChIJuXvxrZNZwokR3XPZK9SvN-U","254 Bleecker St, New York, NY 10014","Murray's Cheese","https://www.google.com/maps/search/?api=1&query=Murray's%20Cheese&query_place_id=ChIJuXvxrZNZwokR3XPZK9SvN-U","google-maps","2025-03-18T07:53:35.785Z","ChdDSUhNMG9nS0VJQ0FnSURZNXREZDdRRRAB",,,,,,,,,,,,,,,,,"5",,,"https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURZNXREZDdRRRAB!2m1!1s0x0:0xe537afd42bd973dd!3m1!1s2@1:CIHM0ogKEICAgIDY5tDd7QE%7CCgwI_8zkvgYQyM7e9gI%7C?hl=en"
